Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.017500,0.000000,0
Solver,0.073500,302.498449,2.22336e+07
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000200,0.000000,0
Matvec,0.001000,1317.648000,1.31765e+06
PFSB I/O,0.002000,0.000000,0
PFB I/O,0.000400,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.053100,0.000000,0
MGSemi,0.002400,1270.159583,3.04838e+06
PCG,0.002800,1330.935714,3.72662e+06
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000100,1062.660000,106266
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.008600,2139.622093,1.84008e+07
Geometries,0.036600,0.000000,0
SubsrfSim,0.000100,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,0.092600,-nan,0
